Relative:208,sturt_leaf,Relative:208,sturt_leaf,Relative:208,sturt_leaf,Relative:208,sturt_nectar,Relative:208,sturt_nectar,Relative:208,sturt_nectar,Relative:208,sturt_dryefn,Relative:208,sturt_dryefn,Relative:208,sturt_dryefn,Relative:208,aus_leaf,Relative:208,aus_leaf,Relative:208,aus_leaf,Relative:208,aus_nectar1,Relative:208,aus_nectar1,Relative:208,aus_nectar1,Relative:208,aus_dryefn1,Relative:208,aus_dryefn1,Relative:208,aus_dryefn1,Relative:208,aus_leaf2,Relative:208,aus_leaf2,Relative:208,aus_leaf2,Relative:208,aus_nectar2,Relative:208,aus_nectar2,Relative:208,aus_nectar2,Relative:208,aus_dryefn2,Relative:208,aus_dryefn2,Relative:208,aus_dryefn2
194.365,171.38,194.365,-138.36,194.365,35.53,194.365,-41.19,194.365,89.62,194.365,-36.48,194.365,133.65,194.365,19.81,194.365,-130.5,194.365,18.87,194.365,130.5,194.365,116.35,194.365,-65.41,194.365,-31.45,194.365,10.06,194.365,-28.93,194.365,-83.33,194.365,-7.86,194.365,74.53,194.365,-9.75,194.365,-36.79,194.365,-95.28,194.365,-23.9,194.365,14.15,194.365,145.28,194.365,37.42,194.365,-19.81
194.749,1246,194.749,1136,194.749,254,194.749,-570,194.749,134,194.749,616,194.749,302,194.749,290,194.749,766,194.749,-88,194.749,-158,194.749,220,194.749,960,194.749,200,194.749,384,194.749,952,194.749,882,194.749,658,194.749,166,194.749,1342,194.749,1290,194.749,862,194.749,664,194.749,262,194.749,-220,194.749,-206,194.749,542
195.133,20.29,195.133,11.72,195.133,3.56,195.133,56.28,195.133,62.97,195.133,9.21,195.133,45.4,195.133,9.83,195.133,-29.92,195.133,9.21,195.133,46.65,195.133,30.54,195.133,-63.6,195.133,59.41,195.133,36.82,195.133,114.64,195.133,21.55,195.133,38.28,195.133,12.76,195.133,13.6,195.133,55.86,195.133,30.33,195.133,10.88,195.133,9.41,195.133,43.1,195.133,81.8,195.133,-29.92
195.518,54.18,195.518,3.86,195.518,-33.28,195.518,56.11,195.518,17.52,195.518,12.22,195.518,63.18,195.518,-31.03,195.518,23.31,195.518,17.36,195.518,97.59,195.518,13.18,195.518,-5.14,195.518,37.94,195.518,74.6,195.518,23.79,195.518,29.42,195.518,29.42,195.518,-5.63,195.518,23.31,195.518,-0.8,195.518,-89.87,195.518,-9.65,195.518,22.67,195.518,-36.33,195.518,47.43,195.518,-38.42
195.902,320.91,195.902,123.64,195.902,-115.45,195.902,360.91,195.902,288.18,195.902,301.82,195.902,95.45,195.902,-306.36,195.902,30,195.902,25.45,195.902,159.09,195.902,292.73,195.902,-101.82,195.902,-250.91,195.902,465.45,195.902,163.64,195.902,-168.18,195.902,35.45,195.902,-497.27,195.902,-13.64,195.902,475.45,195.902,-57.27,195.902,-214.55,195.902,84.55,195.902,27.27,195.902,64.55,195.902,15.45
196.286,292.86,196.286,31.75,196.286,51.59,196.286,-205.56,196.286,35.71,196.286,-244.44,196.286,172.22,196.286,303.97,196.286,-240.48,196.286,98.41,196.286,-89.68,196.286,-315.87,196.286,-596.83,196.286,-307.94,196.286,203.17,196.286,117.46,196.286,-489.68,196.286,81.75,196.286,-230.95,196.286,-240.48,196.286,-29.37,196.286,-189.68,196.286,-238.1,196.286,-434.13,196.286,125.4,196.286,157.94,196.286,-469.05
196.67,1721.43,196.67,2800,196.67,-2164.29,196.67,2950,196.67,-135.71,196.67,885.71,196.67,-164.29,196.67,3421.43,196.67,1035.71,196.67,1800,196.67,2392.86,196.67,-328.57,196.67,-571.43,196.67,2828.57,196.67,1371.43,196.67,-428.57,196.67,-1778.57,196.67,392.86,196.67,1578.57,196.67,464.29,196.67,192.86,196.67,350,196.67,-428.57,196.67,-135.71,196.67,2957.14,196.67,964.29,196.67,-792.86
197.055,118.61,197.055,44.84,197.055,86.32,197.055,146.41,197.055,142.83,197.055,31.39,197.055,106.05,197.055,28.48,197.055,122.2,197.055,85.2,197.055,146.86,197.055,32.74,197.055,208.07,197.055,45.74,197.055,104.04,197.055,65.47,197.055,112.78,197.055,163,197.055,89.01,197.055,75.56,197.055,70.63,197.055,-17.71,197.055,108.52,197.055,103.36,197.055,89.24,197.055,119.96,197.055,125.78
197.439,3.56,197.439,25.1,197.439,-23.22,197.439,32.85,197.439,26.15,197.439,12.55,197.439,-68.41,197.439,33.26,197.439,-16.53,197.439,-27.62,197.439,-10.25,197.439,-69.87,197.439,36.82,197.439,-44.35,197.439,26.78,197.439,-22.59,197.439,135.36,197.439,-1.88,197.439,-87.66,197.439,-23.22,197.439,-14.44,197.439,-43.31,197.439,-5.86,197.439,-74.27,197.439,16.32,197.439,41.63,197.439,-120.29
197.823,107.48,197.823,78.74,197.823,246.06,197.823,231.89,197.823,-120.87,197.823,-1.57,197.823,116.93,197.823,-12.99,197.823,-37.4,197.823,11.02,197.823,-12.99,197.823,63.78,197.823,12.6,197.823,92.91,197.823,25.2,197.823,-86.61,197.823,-98.03,197.823,-91.73,197.823,11.42,197.823,-24.8,197.823,-127.95,197.823,44.49,197.823,-105.51,197.823,11.42,197.823,5.51,197.823,-3.54,197.823,-163.39
198.207,60.64,198.207,78.49,198.207,54.96,198.207,77.19,198.207,63.95,198.207,44.92,198.207,6.74,198.207,45.27,198.207,66.31,198.207,50.59,198.207,58.51,198.207,22.93,198.207,83.22,198.207,14.66,198.207,49.17,198.207,21.28,198.207,40.54,198.207,40.54,198.207,48.82,198.207,70.09,198.207,27.78,198.207,32.27,198.207,-27.9,198.207,33.69,198.207,65.96,198.207,63.24,198.207,24.7
