"wl","sturt_leaf","sturt_nectar","sturt_dryefn","aus_leaf","aus_nectar1","aus_dryefn1","aus_leaf2","aus_dryefn2","aus_nectar2"
375,50.3419110101532,43.4367144781992,40.4077318619213,-13.5526568858535,-13.312713932811,-10.5842868798146,-11.8820006724391,-5.80984352565657,-21.2655678465107
376,48.3670320892007,42.0714273938189,39.1190027523952,-13.0284531615154,-12.7351051922797,-10.1806113857133,-11.3973108796108,-5.60096573449287,-20.4383792731297
377,46.3895835110772,40.7211420662866,37.8323514795348,-12.5154586481668,-12.1442015187207,-9.76252711637568,-10.9150150529172,-5.39864820845983,-19.6386719243591
378,44.4227325983807,39.3837790822798,36.5503412531423,-12.0104657287056,-11.5479092605658,-9.3353160472835,-10.4357322118262,-5.20078540303128,-18.8599735006491
379,42.4796466737094,38.0572590284762,35.2755352830198,-11.5102667860299,-10.9541347662469,-8.9042601539187,-9.96008137580605,-5.00527177368102,-18.0958117024501
380,40.5734930596616,36.7395024915532,34.0104967789694,-11.0116542030376,-10.3707843841958,-8.47464141176317,-9.48868156432475,-4.81000177588286,-17.3397142302123
381,38.7174390788353,35.4284300581884,32.7577889507934,-10.5114203626266,-9.80576446284443,-8.0517417962988,-9.0221517968504,-4.61286986511061,-16.5852087843859
382,36.9246520538287,34.1219623150593,31.5199750082938,-10.0063576476951,-9.26698135062454,-7.64084328300749,-8.56111109285108,-4.41177049683808,-15.8258230654212
383,35.1588986727419,32.7994472222729,30.2752356228998,-9.49629023532998,-8.75580170376858,-7.23092957217313,-8.10883002760221,-4.21989165305722,-15.0566761630514
384,33.391759022202,31.454916648883,29.0124013130421,-8.98508726861787,-8.26519308661745,-6.81243874936016,-7.66624512424882,-4.04563421655188,-14.2828024126282
385,31.6481205225978,30.1083170449879,27.750010059026,-8.47560857945606,-7.79046320976577,-6.39283436797125,-7.23047432406348,-3.8797119939837,-13.5126023830299
386,29.9528705943181,28.7795948606857,26.5065998411566,-7.97071399974186,-7.32691978380816,-5.97957998140908,-6.79863556831871,-3.71283879201431,-12.7544766431346
387,28.3308966577518,27.4886965460744,25.3007086397389,-7.47326336137258,-6.86987051933926,-5.58013914307632,-6.36784679828707,-3.53572841730535,-12.0168257618206
388,26.8070861332878,26.2555685512524,24.1508744350781,-6.98611649624552,-6.41462312695369,-5.20197540637566,-5.93522595524109,-3.33909467651847,-11.3080503079662
389,25.3432808959356,25.03178979118,23.0106405791336,-6.49653123968674,-5.9561085371046,-4.83904309865126,-5.49852712211815,-3.11551764774661,-10.6180230344512
390,23.8988368964167,23.7772188216823,21.841473313291,-5.99621656979484,-5.49672435536618,-4.48192682981481,-5.0600334070294,-2.87063225185763,-9.93455646911762
391,22.4949126686876,22.5242215541538,20.6737949519946,-5.49470903262601,-5.04297830501464,-4.13303557712028,-4.62365628900814,-2.61473455967558,-9.26296084328701
