"wl","gt_s","gt","g_s","r_s","g","r"
553,20.8912183271403,9.12971116532622,22.6375888986956,15.5094444111108,7.21054950256651,-0.615245318272319
554,20.9193542218989,9.25236505564711,22.7450958771896,15.6851334253369,7.32644592891169,-0.565185483234928
555,20.9461617584496,9.3756817336075,22.8537977232576,15.8631429760559,7.44811232917951,-0.512303114774425
556,20.9740080734981,9.49594726700082,22.9572860338534,16.0375704795097,7.57240663505127,-0.4591802310529
557,21.00526030375,9.60944772362051,23.0491524059307,16.2025133519399,7.69618677820829,-0.408398850232445
558,21.0399214220252,9.73179675755112,23.1404304455116,16.3705123650774,7.82953313446512,-0.346624854224201
559,21.0755125181373,9.87333486937495,23.241886670192,16.5528029086533,7.97932188838183,-0.265581930435992
560,21.1106779042832,10.0224383966321,23.3467120442863,16.7415243259094,8.137604684758,-0.175438805274931
561,21.1440618926598,10.1674836768627,23.448097532109,16.9288159600875,8.29643316839323,-0.0863642051481333
562,21.1743087954639,10.2968470476068,23.5392340979747,17.1068171544294,8.4478589840871,-0.00852685646271254
563,21.2000629248924,10.3989048464046,23.6133127061979,17.2676672521771,8.5839337766392,0.0479045143742169
564,21.2218109644202,10.4813205629636,23.6795049870225,17.4218525912454,8.71939941137987,0.0867088868856626
565,21.240973444744,10.5583603378296,23.7481005417811,17.5811852759591,8.86842644871382,0.119175304848766
566,21.2575954488932,10.6283044847995,23.8139672914212,17.7397932991749,9.02220957605221,0.146400138237612
567,21.2717220598973,10.6894333176704,23.8719731568904,17.8918046537494,9.1719434808062,0.169479757026289
568,21.2833983607857,10.7400271502395,23.9169860591361,18.0313473325393,9.30882285038694,0.18951053118888
569,21.2926694345879,10.7783662963037,23.9438739191059,18.1525493284014,9.42404237220558,0.207588830699473
570,21.2984367854504,10.8007687631785,23.9510194731544,18.2528381771935,9.51628893595805,0.214441517218022
571,21.3003131584693,10.8073182030696,23.9430237822469,18.3368083135478,9.59320244184581,0.204990111839821
572,21.2994104980976,10.8019433971102,23.9240822542468,18.4093380784822,9.65940709303833,0.186622973691961
573,21.2968407487884,10.7885731264333,23.8983902970175,18.4753058130144,9.71952709270507,0.166728461901534
574,21.2937158549949,10.7711361721718,23.8701433184223,18.5395898581625,9.77818664401548,0.152694935595632
575,21.2911477611703,10.7535613154588,23.8435367263248,18.6070685549443,9.84000995013904,0.151910753901347
576,21.2885705927728,10.7257194377514,23.8040744942996,18.6678059460825,9.8929861182174,0.157501926927489
577,21.2842770001719,10.6788061555829,23.7401229198871,18.7121095740721,9.92690389660623,0.159066687550901
578,21.277666715187,10.6187373527006,23.6601708968994,18.74522302959,9.94908695029605,0.158701729050721
579,21.2681394696373,10.5514289128519,23.5727073191481,18.7723899033127,9.96685894427735,0.158503744706087
580,21.2550949953424,10.4827967197843,23.4862210804453,18.7988537859169,9.98754354354064,0.160569427796139
581,21.2379330241217,10.4187566572449,23.4092010746028,18.8298582680792,10.0184644130764,0.166995471600015
582,21.2160532877945,10.3652246089813,23.3501361954325,18.8706469404765,10.0669452178752,0.179878569396853
583,21.1893683469742,10.312267655052,23.300309473035,18.9148291223402,10.1351545834417,0.196896255898761
584,21.1590390071275,10.2501071574186,23.2480042625065,18.9547547884793,10.2165377973281,0.215542516755935
585,21.1263373673536,10.184890422683,23.1972099451524,18.9937785129356,10.3053335175964,0.23763872165465
586,21.0925355267517,10.1227647574474,23.1519159022784,19.0352548697513,10.3957804023083,0.265006240281182
587,21.058905584421,10.0698774683137,23.1161115151899,19.0825384329685,10.4821171095256,0.299466442321806
588,21.0267196394608,10.0323758618838,23.0937861651924,19.1389837766291,10.5585822973103,0.342840697462797
589,20.9976655722587,10.0106059143624,23.0933323416147,19.2136587088294,10.6377374071569,0.39505538669147
590,20.9709801867884,9.99851316033911,23.1142987834887,19.3069826560798,10.7304946171626,0.453898825543224
591,20.9442589675284,9.99264424399365,23.1474092466743,19.409337620044,10.8286186902927,0.517985285526456
592,20.915097398957,9.98954580950578,23.1833874870318,19.5111056023855,10.9238743895127,0.585929038149562
593,20.8810909655528,9.98576450105524,23.212957260421,19.6026686047679,11.0080264777882,0.656344354920942
594,20.8398351517939,9.97784696282175,23.2268423227022,19.6744086288549,11.0728397180844,0.727845507348991
595,20.789263746871,9.97698447442776,23.2332410516441,19.7341123584626,11.1188475735217,0.805891191672146
596,20.7308114571,9.99131376000199,23.2441601759463,19.7942467969533,11.1538711389856,0.89429420378378
597,20.667325142648,10.0127996304836,23.2560359778649,19.8522144253101,11.1806066250896,0.989199964674705
